id,name,brand,price,currency,has_discount,promocode,discount_value,price_after_sale,discount_amount,url,img,scraped_at,country
16143190,Family Complex,WOOM,3.1,gbp/£,False,,0,3.1,0.0,/woom/family-complex-toothpaste/,/woom/8420075180360_01-o__220830.jpg,2024-05-08 11:05:49,uk
478627,Pharma B5,Yotuel,10.1,gbp/£,False,,0,10.1,0.0,/yotuel/pharma-b5-whitening-toothpaste/,/yotuel/yotpb5w_ktps10__150428.jpg,2024-05-08 11:05:49,uk
16122232,ADS Soothing,Curasept,5.9,gbp/£,False,,0,5.9,0.0,/curasept/ads-soothing-soothing-toothpaste-with-gel-texture/,/curasept/8056746070236_01-o__220203.jpg,2024-05-08 11:05:49,uk
16011684,Triple Action Xtra White,Colgate,2.2,gbp/£,False,,0,2.2,0.0,/colgate/triple-action-xtra-white-whitening-toothpaste-with-fluoride/,/colgate/8718951294721_01-o__200212.jpg,2024-05-08 11:05:49,uk
16184719,Toothpaste Dolce Vita,HAAN,5.8,gbp/£,False,,0,5.8,0.0,/haan/toothpaste-dolce-vita-fluoride-toothpastes-with-prebiotics/,/haan/5060669781349_01-o__230515.jpg,2024-05-08 11:05:49,uk
16231100,Max White Bye Bye Stains,Colgate,3.9,gbp/£,False,,0,3.9,0.0,/colgate/max-white-bye-bye-stains-toothpaste/,/colgate/8718951610521_01-o__240404.jpg,2024-05-08 11:05:49,uk
16079855,Integral 8 Actions,Signal,1.9,gbp/£,False,,0,1.9,0.0,/signal/integral-8-toothpaste/,/signal/8720181117640_01-o__210611.jpg,2024-05-08 11:05:49,uk
16190616,Gift Sets Great Joyful,HAAN,26.2,gbp/£,True,15promo,15,22.27,3.93,/haan/gift-sets-great-aquamarine-gift-set-hyva-meininki/,/haan/5060917123549_01-o__230619.jpg,2024-05-08 11:05:49,uk
472994,Kids,Signal,2.5,gbp/£,False,,0,2.5,0.0,/signal/kids-toothpaste-for-kids/,/signal/8712561103077_01-o__221115.jpg,2024-05-08 11:05:49,uk
16221587,Expert,Perl Weiss,5.2,gbp/£,True,15promo,15,4.42,0.78,/perl-weiss/expert-whitening-toothpaste/,/perl_weiss/4008890009437_01__240111.jpg,2024-05-08 11:05:49,uk
15850566,Total Active Fresh,Colgate,3.1,gbp/£,False,,0,3.1,0.0,/colgate/total-active-fresh-toothpaste-for-complete-protection-of-teeth/,/colgate/8718951226838_01-o__220801.jpg,2024-05-08 11:05:49,uk
16194257,PAP Coconut Whitening,White Pearl,7.2,gbp/£,True,teeth,15,6.12,1.08,/white-pearl/pap-coconut-whitening-whitening-toothpaste/,/white-pearl/8594069333299_01-o__230725.jpg,2024-05-08 11:05:49,uk
16087859,Colour Surprise,Ecodenta,5.9,gbp/£,False,,0,5.9,0.0,/ecodenta/expert-black-whitening-toothpaste-for-children-against-dental-caries/,/ecodenta/4770001002490_01-o__210809.jpg,2024-05-08 11:05:49,uk
16142487,Antiplaca,DentYucral,4.1,gbp/£,True,teeth,15,3.48,0.62,/dentyucral/antiplaca-whitening-tooth-powder/,/dentyucral/8470002079021_01-o__220818.jpg,2024-05-08 11:05:49,uk
16134101,Junior Cola,WOOM,4.3,gbp/£,False,,0,4.3,0.0,/woom/junior-cola-toothpaste-for-children/,/woom/4751033920150_01-o__220629.jpg,2024-05-08 11:05:49,uk
16226450,Glitter Gold&Black,Beverly Hills Formula,5.6,gbp/£,False,,0,5.6,0.0,/beverly-hills-formula/glitter-goldblack-whitening-toothpaste-vegan/,/beverly-hills-formula/5020105004326_01-o__240423.jpg,2024-05-08 11:05:49,uk
16033538,Max Clean Mineral Scrub,Colgate,2.8,gbp/£,True,teeth,15,2.38,0.42,/colgate/max-clean-mineral-scrub-gel-toothpaste-for-fresh-breath/,/colgate/8718951327085_01-o__200602.jpg,2024-05-08 11:05:49,uk
16212207,Glo Charcoal,White Glo,4.5,gbp/£,False,,0,4.5,0.0,/white-glo/charcoal-deep-stain-remover-whitening-toothpaste-with-activated-charcoal/,/white-glo/9319871002169_01-o__231109.jpg,2024-05-08 11:05:49,uk
16212431,Natural Toothpaste Tablets without Fluoride,Denttabs,5.4,gbp/£,False,,0,5.4,0.0,/denttabs/natural-toothpaste-tablets-without-fluoride-fluoride-free-toothpaste-in-tablets/,/denttabs/4260066813105_01-o__231115.jpg,2024-05-08 11:05:49,uk
16142712,Instant White,White Glo,5.4,gbp/£,False,,0,5.4,0.0,/white-glo/instant-white-dental-care-set/,/white-glo/93198714001407_01-o__220818.jpg,2024-05-08 11:05:49,uk
426305,Caries Protection,Elmex,5.9,gbp/£,True,teeth,15,5.02,0.88,/elmex/caries-protection-toothpaste-without-menthol/,/elmex/4007965015557_01-o__221128.jpg,2024-05-08 11:05:49,uk
16009360,Whitening,Lavera,5.8,gbp/£,False,,0,5.8,0.0,/lavera/whitening-whitening-toothpaste/,/lavera/4021457629213_01-o__200129.jpg,2024-05-08 11:05:49,uk
16227446,The Mints Jasmin,Marvis,10.1,gbp/£,False,,0,10.1,0.0,/marvis/the-mints-jasmin-set-for-teeth/,/marvis/8004395112258_01-o__240318.jpg,2024-05-08 11:05:49,uk
16134106,Sensitive+ Toothpaste,WOOM,5.7,gbp/£,True,teeth,15,4.85,0.85,/woom/sensitive-toothpaste-sensitive-toothpaste/,/woom/4751033920235_01-o__220629.jpg,2024-05-08 11:05:49,uk
11633504,Professional White Range,Beverly Hills Formula,12.2,gbp/£,False,,0,12.2,0.0,/beverly-hills-formula/professional-white-range-whitening-toothpaste-with-fluoride/,/beverly-hills-formula/5020105003138_01-o__180326.jpg,2024-05-08 11:05:49,uk
16102531,GTS2066+WT3500 Exclusive Set,Dr. Mayer,84.1,gbp/£,False,,0,84.1,0.0,/dr-mayer/bundle-gift-set/,/dr_mayer/8591205717791_01__211124.jpg,2024-05-08 11:05:49,uk
472351,Hydral,G.U.M,7.5,gbp/£,False,,0,7.5,0.0,/gum/hydral-toothpaste/,/gum/gumhydu_ktps20__150309.jpg,2024-05-08 11:05:49,uk
483436,NanoCare,White Pearl,8.1,gbp/£,True,teeth,15,6.88,1.22,/white-pearl/nanocare-toothpaste/,/white-pearl/whpnanw_ktps10_01__150609.jpg,2024-05-08 11:05:49,uk
16119806,EcoBio Dentifricio,Curasept,5.9,gbp/£,False,,0,5.9,0.0,/curasept/ecobio-dentifricio-organic-toothpaste-without-fluoride/,/curasept/8056746071547_01-o__220203.jpg,2024-05-08 11:05:49,uk
16213105,Inter Oral Hygiene Gift Set,EP Line,9.9,gbp/£,False,,0,9.9,0.0,/ep-line/inter-oral-hygiene-gift-set-gift-setfor-children/,/ep-line/8029241132006_01__231120.jpg,2024-05-08 11:05:49,uk
16208484,Toothpaste Smooth Mint,My White Secret,7.0,gbp/£,False,,0,7.0,0.0,/my-white-secret/toothpaste-smooth-mint-toothpaste/,/my-white-secret/5060548390549_01-o__230913.jpg,2024-05-08 11:05:49,uk
610705,Black is White,Curaprox,6.9,gbp/£,True,teeth,15,5.86,1.04,/curaprox/black-is-white-cosmetic-set-ii/,/curaprox/7612412424614_01-o__170314.jpg,2024-05-08 11:05:49,uk
16088638,Natural Toothpaste Fresh Mint,The Humble Co.,9.3,gbp/£,False,,0,9.3,0.0,/humble/natural-toothpaste-organic-toothpaste/,/humble/7350075693205_01-o__210816.jpg,2024-05-08 11:05:49,uk
16102024,Girls,Pink Elephant,1.0,gbp/£,False,,0,1.0,0.0,/pink-elephant/girls-toothpaste-for-kids/,/pink_elephant/8588006040913_01__230116.jpg,2024-05-08 11:05:49,uk
